Total segments: 1383
Duration: 3615s = 60:14

[0] 0:00 | בוקר טוב עמית ויונתן.
[1279] 56:33 | אני מצליח לייצר פה לייצר פה עניין בתוך
[1280] 56:35 | הדבר הזה? סגי, כותב האוכל הטוב ביותר
[1281] 56:38 | שיש, א מפצח את את האתגר הזה בצורה
[1282] 56:42 | מדהימה.
[1283] 56:43 | >> אה, אבי, הפרעתי
[1284] 56:44 | >> בא לריב איתך?
[1285] 56:45 | >> בא לריב איתי? כן, נכון.
[1286] 56:47 | >> לא הבנתי מה הוא רוצה. באמת לא הבנתי.
[1287] 56:48 | >> תודה רבה. למה לא הבנת מה הוא רוצה?
[1288] 56:50 | >> לא הבנתי. כי זה מעולה וזה מעולה וזה
[1289] 56:53 | מעולה. אז אני אומר, "רגע, אז איך בכותרת
[1290] 56:54 | כתוב שזה לא מה שהיה והיה בינוני?" ולא לא
[1291] 56:57 | הבנתי.
[1292] 56:58 | >> כן. אני גם קראתי את הביקורת שלוש פעמים.
[1293] 56:59 | אין לי מושג מה הקשר בין התוכן לבין
[1294] 57:01 | הכותרת אה ונכון אני חסיד ש
[1295] 57:04 | >> אבי פרטי היה בביתילנדי חשוב להגיד תודה
[1296] 57:06 | נט לא אמרנו
[1297] 57:07 | >> תודה נטה אב פרטי היה בבית תאילנדי
[1298] 57:09 | והוציאו משם כאילו כותרת זו כבר לא
[1299] 57:11 | התאילנדית הטובה בישראל קודם כל אבי הפרטי
[1300] 57:13 | אם אתה לא חושב שזאת עדיין התאילנדית
[1301] 57:15 | הטובה בישראל נשמח מאוד לשמוע מי אתה כן
[1302] 57:17 | חושב שהיא התאילנדית הטובה בישראל כי אני
[1303] 57:19 | חיפשתי אני לא מכיר תאילנדית יותר טובה
[1304] 57:22 | מבית תאילנדי וכן אני חסיד של בית תאילנדי
[1305] 57:25 | אבל לשמחתי ממש במקרה בשבוע שעבר נתתי שם
[1306] 57:27 | קטנה כזה בצהריים באמת הכי ה חד כתמיד
[1307] 57:32 | >> היה נטון הר היית בסטורי לא
[1308] 57:35 | >> א כן היה נעתון היה וואי היה הסלט עם
[1309] 57:38 | הנקניקיה הכבושה שלהם כזה חריף חריף
[1310] 57:41 | >> וואי פספסתי את הסטוריז האלה
[1311] 57:42 | >> אז אז באמת כלומר אני לא הצלחתי להבין גם
[1312] 57:45 | מהביקורת מה היה כל כך בעייתי בסדר המס
[1313] 57:49 | המנקרי היה לט לטענתו פחות טוב אבל הוא עף
[1314] 57:52 | על הטומים הוא עף על ה על המנה עם השרמס
[1315] 57:55 | והשום לא יודע לא לא יודע מה הוא רוצה אה
[1316] 57:59 | א עד כאן מה שנקרא מבקרנו להפעם קובי
[1317] 58:03 | רובין התעכב בהלאת התור שלו על כן אנחנו
[1318] 58:06 | נמחל נמחל לו הפעם א יש לכם שיעורי בית
[1319] 58:09 | לשבוע הבא
[1320] 58:10 | >> אני נוסע לירושלים
[1321] 58:12 | >> אי מצב שגם אני אגיע
[1322] 58:14 | >> יאללה בוא
[1323] 58:15 | >> מה שקורה שם זה לא נורמלי
[1324] 58:16 | >> יש לנו יש לנו יש לי פעמיים ירושלים כשאני
[1325] 58:19 | חושב על זה כנראה
[1326] 58:20 | >> כן לא לא זה לזה אני לא אני יפה עשית
[1327] 58:22 | חיבור במשהו אנחנו ביום שישי נגיע
[1328] 58:24 | לירושלים לראות את הפועל א ואז לדעתי ניתן
[1329] 58:27 | שם איזה חומוסן או פינתי או תלפיות או
[1330] 58:30 | משהו כזה טוב לפני אהובית בפנים
[1331] 58:33 | >> נכון כן הוא לא הוא לא יכול לבוא כבד
[1332] 58:35 | למשחק אסור לו
[1333] 58:37 | >> קצת קצת
[1334] 58:38 | >> את יודעת שהוא הכרוז של של המשחקים שלנו
[1335] 58:41 | >> בוודאי בטח כן
[1336] 58:43 | >> אז מה שיעורי הבית שלך
[1337] 58:44 | >> א אז אני האמת גם ביום ראשון אהיה
[1338] 58:46 | בירושלים אבל לצילומים אז נראה ככה אם ומה
[1339] 58:49 | אני אספיק
[1340] 58:50 | >> אוקיי
[1341] 58:51 | >> א אבל זה יהיה סביב אוכל אז כאילו אני
[1342] 58:53 | אספיק משהו בוודאות
[1343] 58:55 | >> כדאי
[1344] 58:55 | >> אה כולנו מגיעים לירושלים באותו שבוע זה
[1345] 58:57 | יפה כן שיש דברים יש יש דברים מעניינים
[1346] 58:59 | >> ידעתי עדיין ביחד לא נספיק לכל מה שחדש
[1347] 59:02 | נבצע את דוקרב השוארמות הגדול המסתמן של
[1348] 59:06 | שוק מחנה יהודה יש לנו
[1349] 59:07 | >> כן יש שתי שוארמיות חדשות שנפתחו בשוק אני
[1350] 59:09 | מודה
[1351] 59:10 | >> נכון
[1352] 59:10 | >> לא מעניין
[1353] 59:11 | >> כאילו לא מעניין אבל הרי היסטורית אמרנו
[1354] 59:13 | שאין שוארמה ובשוק באמת שנים לא הייתה
[1355] 59:17 | שוארמה בכלל הייתה אחת נערי נערי המרו א
[1356] 59:20 | משפחת גלילה
[1357] 59:22 | >> גלילה כן מאוד פשוטה
[1358] 59:23 | >> אחלה שוארמה אבל אז לפני כמה שנים נפתחה
[1359] 59:25 | אקה ששינתה את כללי המשחק ועכשיו גם שרדר
[1360] 59:30 | פתח שם וגם השמן פתחו שם סניף מעניין
[1361] 59:33 | מעניין מעניין מעניין פתאום ארבע שרמות
[1362] 59:36 | באזור כזה זה מעניין
[1363] 59:38 | >> חלק מהחן של ירושלים זה ששוערמה אף פעם לא
[1364] 59:40 | הייתה
[1365] 59:42 | >> כן בראש מעייני ממש לא
[1366] 59:44 | >> דברים טובים יותר
[1367] 59:45 | >> א נאמר תודה רבה לקובי רובין
[1368] 59:49 | >> די נו סתם
[1369] 59:50 | >> לא הייתי בכוונה
[1370] 59:51 | >> כן כן זה תציניות
[1371] 59:53 | >> אוקיי
[1372] 59:54 | >> אה קובי מלמד הקרוז עורך ההל מי יל
[1373] 59:57 | הפיידרים
[1374] 59:58 | דני
[1375] 59:58 | >> אני גיטלס
[1376] 59:59 | >> ותודה רבה לכם חבריי
[1377] 60:01 | >> אמיתרוןסון תודה רבה
[1378] 60:02 | >> נטסלונים תודה רבה
[1379] 60:03 | >> ויונתן כהן האחד והיחיד
[1380] 60:05 | >> שיהיה בתיאבון
[1381] 60:12 | >> מדברים מהבטן מבית הפודיום עם אמית
[1382] 60:14 | ארוןסון יונתן כהן ונת סלונים ‏M
